file_version	1
team	reg	rank	prize	solved	time	last_solved	1	2	3	4	5	6	7	8	9	10
TJ High School: SENIOR TEAM		1	gold	8	863.0	160.0	5/80	1/70	2/8	1/29	4/160	1/146	1/--	1/88	3/82	--/--
Deep Run HS: HTCPCP://		2	gold	5	533.0	151.0	4/144	1/74	2/8	1/36	4/--	3/151	--/--	7/--	--/--	--/--
South Lakes HS: SLHS Team 1		3	gold	5	548.0	211.0	1/24	3/117	1/14	1/42	--/--	6/211	--/--	--/--	7/--	--/--
TJ High School: INTERMEDIATE TEAM		4	gold	5	597.0	233.0	1/60	4/233	1/32	1/80	1/--	1/132	--/--	3/--	--/--	--/--
TJ High School: JUNIOR TEAM		5	silver	5	655.0	229.0	1/37	1/139	1/73	2/157	1/229	--/--	--/--	--/--	--/--	--/--
Deep Run HS: Fantastic 100		6	silver	4	150.0	56.0	1/36	1/27	1/31	1/56	2/--	--/--	--/--	5/--	1/--	--/--
Dominion HS: The Bradleys		7	silver	4	207.0	60.0	2/48	1/37	1/42	1/60	3/--	3/--	--/--	--/--	1/--	--/--
Albemarle HS: pizza_slice.py.java		8	silver	4	444.0	143.0	3/44	3/143	1/75	2/82	4/--	4/--	--/--	--/--	--/--	--/--
Battlefield HS: Betaware 1		9	bronze	4	501.0	152.0	3/69	3/152	2/104	1/76	--/--	6/--	--/--	3/--	--/--	--/--
Forest Park HS: Forest Park Java Bruins T		10	bronze	4	590.0	210.0	2/163	1/76	1/210	1/121	--/--	--/--	--/--	1/--	--/--	--/--
Fairfax HS: Wired Up		11	bronze	4	602.0	176.0	3/168	4/176	1/36	2/102	--/--	--/--	--/--	3/--	1/--	--/--
Freedom HS: Does_Not_Compute		12	bronze	4	607.0	224.0	2/164	2/141	1/38	1/224	--/--	--/--	--/--	--/--	--/--	--/--
Battlefield HS: Betaware 3		13		3	249.0	120.0	2/--	1/40	--/--	1/89	--/--	1/120	--/--	2/--	--/--	--/--
South Lakes HS: SLHS Team 2		13		3	364.0	127.0	2/84	3/127	1/93	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Forest Park HS: Forest Park Java Bruins T		13		3	475.0	221.0	5/221	3/62	1/72	3/--	--/--	--/--	--/--	--/--	--/--	--/--
Stone Bridge HS: Tell them about the twink		13		3	545.0	228.0	6/228	3/98	1/79	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Stone Bridge HS: I'm Batman		13		3	607.0	231.0	6/231	3/217	1/39	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Loudoun Valley HS: LVHS Team #2		13		3	696.0	224.0	8/224	1/86	--/--	3/206	--/--	--/--	1/--	--/--	2/--	1/--
Rock Ridge: Phoenix Song		19		2	180.0	98.0	1/98	--/--	1/82	1/--	--/--	1/--	--/--	--/--	--/--	--/--
Lake Braddock SS: LB #1		19		2	219.0	172.0	5/--	1/172	1/47	7/--	--/--	1/--	--/--	--/--	--/--	--/--
NCSSM: NCSSM 1		19		2	262.0	174.0	3/174	--/--	1/48	--/--	4/--	2/--	--/--	--/--	--/--	--/--
Deep Run HS: '; DROP TABLE teams --		19		2	314.0	226.0	3/--	2/226	1/68	--/--	--/--	--/--	--/--	2/--	--/--	--/--
Rock Ridge: !(last)		19		2	321.0	188.0	4/188	--/--	1/73	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Battlefield HS: Betaware 2		19		2	372.0	216.0	5/--	4/--	3/216	1/116	--/--	--/--	--/--	--/--	1/--	--/--
Potomac Falls HS: Useless Variables		19		2	436.0	224.0	3/224	2/--	1/172	--/--	--/--	--/--	--/--	--/--	--/--	--/--
GSST: Governor's School for Sci		26	honorable	1	11.0	11.0	2/--	--/--	1/11	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Albemarle HS: Javalanche		26	honorable	1	15.0	15.0	3/--	--/--	1/15	--/--	--/--	3/--	--/--	--/--	--/--	--/--
Loudoun Valley HS: LVHS Team #1		26	honorable	1	33.0	33.0	3/--	1/33	2/--	4/--	--/--	--/--	--/--	2/--	--/--	1/--
Freedom HS: Freedom Team 2		26	honorable	1	44.0	44.0	5/--	--/--	1/44	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Broad Run High School: BRHS Z Team		26	honorable	1	46.0	46.0	1/46	2/--	--/--	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Lake Braddock SS: LB #2		26	honorable	1	81.0	81.0	2/--	--/--	1/81	--/--	--/--	--/--	--/--	--/--	--/--	--/--
Stone Bridge HS: I'm Your Density		26	honorable	1	82.0	82.0	--/--	--/--	1/82	--/--	--/--	--/--	--/--	--/--	--/--	--/--
